epoch,lr,train_loss,val_loss,val_mean_macro_f1,train_acc_object_type,train_f1_object_type,val_acc_object_type,val_f1_object_type,train_acc_integrity,train_f1_integrity,val_acc_integrity,val_f1_integrity,train_acc_material_group,train_f1_material_group,val_acc_material_group,val_f1_material_group,train_acc_part_zone,train_f1_part_zone,val_acc_part_zone,val_f1_part_zone
1,0.0002948888739433602,0.2598733628789584,0.1300647258758545,0.37640692640692647,0.14583333333333334,0.14615705931495407,0.16666666666666666,0.10158730158730159,0.6666666666666666,0.4,1.0,1.0,0.4375,0.13333333333333333,0.5,0.2222222222222222,0.06451612903225806,0.047619047619047616,0.26666666666666666,0.18181818181818182
2,0.0002799038105676658,0.1709687958161036,0.12245719134807587,0.3819444444444444,0.16666666666666666,0.12380952380952381,0.2916666666666667,0.22953216374269003,0.7916666666666666,0.5818815331010453,1.0,1.0,0.4583333333333333,0.2812670522754557,0.3333333333333333,0.16666666666666666,0.3870967741935484,0.18295454545454548,0.3333333333333333,0.13157894736842105
3,0.00025606601717798207,0.12956942493716875,0.11382745951414108,0.32717490842490843,0.3125,0.2170285227756492,0.08333333333333333,0.09523809523809523,0.8541666666666666,0.6406417112299465,1.0,1.0,0.375,0.2567824319547543,0.125,0.08846153846153847,0.5806451612903226,0.2562111801242236,0.3333333333333333,0.125
4,0.00022499999999999997,0.12416201209028561,0.12118571251630783,0.18626672891378776,0.3125,0.23503994190268698,0.08333333333333333,0.037037037037037035,0.9166666666666666,0.7272727272727273,0.875,0.4666666666666667,0.5,0.3370506305288914,0.08333333333333333,0.058823529411764705,0.5161290322580645,0.3258145363408521,0.26666666666666666,0.18253968253968253
5,0.0001888228567653781,0.10845645268758138,0.12755211194356283,0.15416666666666667,0.2916666666666667,0.3029013393699302,0.08333333333333333,0.03333333333333333,0.9375,0.768860353130016,0.875,0.4666666666666667,0.3541666666666667,0.25429380993897127,0.041666666666666664,0.03333333333333333,0.6451612903225806,0.4601648351648352,0.13333333333333333,0.08333333333333333
6,0.00015,0.1079073113699754,0.14647570749123892,0.2020712349980643,0.3125,0.2696379543022011,0.16666666666666666,0.13888888888888887,0.9166666666666666,0.7272727272727273,0.7083333333333334,0.4146341463414634,0.3958333333333333,0.28419645370109764,0.125,0.08333333333333333,0.6451612903225806,0.5,0.2,0.17142857142857143
7,0.0001111771432346219,0.08466479430596034,0.13738728066285452,0.24205827067669172,0.4791666666666667,0.4745421115306026,0.08333333333333333,0.075,0.9375,0.8160919540229885,0.75,0.42857142857142855,0.5416666666666666,0.3741645781119465,0.16666666666666666,0.11466165413533834,0.6774193548387096,0.521007371007371,0.4,0.35
8,7.500000000000003e-05,0.09709585830569267,0.13597757120927176,0.2830786514210427,0.5625,0.5739418222255751,0.20833333333333334,0.15454545454545454,0.9583333333333334,0.8222222222222222,0.75,0.42857142857142855,0.5625,0.3859175377468061,0.375,0.21884057971014492,0.6129032258064516,0.4532828282828283,0.4,0.33035714285714285
9,4.393398282201788e-05,0.07763564338286717,0.1255159725745519,0.2997519841269841,0.5833333333333334,0.5988339275103981,0.2916666666666667,0.18611111111111112,0.9583333333333334,0.8636363636363636,0.75,0.42857142857142855,0.4791666666666667,0.336203560371517,0.4166666666666667,0.25396825396825395,0.6774193548387096,0.5715284715284715,0.4,0.33035714285714285
10,2.0096189432334194e-05,0.07384317616621654,0.12600662310918173,0.3223852232075916,0.5625,0.5455377955377955,0.375,0.24903337403337403,0.9791666666666666,0.9229534510433386,0.75,0.42857142857142855,0.5208333333333334,0.35846267553584626,0.4583333333333333,0.28157894736842104,0.6774193548387096,0.46655052264808367,0.4,0.33035714285714285
11,5.1111260566397705e-06,0.07040306677420934,0.1267803187171618,0.3223852232075916,0.5416666666666666,0.4786027697792404,0.375,0.24903337403337403,0.9791666666666666,0.9229534510433386,0.75,0.42857142857142855,0.6041666666666666,0.40964373464373466,0.4583333333333333,0.28157894736842104,0.7419354838709677,0.6324675324675325,0.4,0.33035714285714285
12,0.0,0.06577818468213081,0.12822491427262625,0.3223852232075916,0.6875,0.6905571552630376,0.375,0.24903337403337403,1.0,1.0,0.75,0.42857142857142855,0.625,0.4224705474705475,0.4583333333333333,0.28157894736842104,0.7419354838709677,0.6833333333333332,0.4,0.33035714285714285
1,0.0002948888739433602,0.2598733628789584,0.1300647258758545,0.37640692640692647,0.14583333333333334,0.14615705931495407,0.16666666666666666,0.10158730158730159,0.6666666666666666,0.4,1.0,1.0,0.4375,0.13333333333333333,0.5,0.2222222222222222,0.06451612903225806,0.047619047619047616,0.26666666666666666,0.18181818181818182
2,0.0002799038105676658,0.1709687958161036,0.12245719134807587,0.3819444444444444,0.16666666666666666,0.12380952380952381,0.2916666666666667,0.22953216374269003,0.7916666666666666,0.5818815331010453,1.0,1.0,0.4583333333333333,0.2812670522754557,0.3333333333333333,0.16666666666666666,0.3870967741935484,0.18295454545454548,0.3333333333333333,0.13157894736842105
3,0.00025606601717798207,0.12956942493716875,0.11382745951414108,0.32717490842490843,0.3125,0.2170285227756492,0.08333333333333333,0.09523809523809523,0.8541666666666666,0.6406417112299465,1.0,1.0,0.375,0.2567824319547543,0.125,0.08846153846153847,0.5806451612903226,0.2562111801242236,0.3333333333333333,0.125
4,0.00022499999999999997,0.12416201209028561,0.12118571251630783,0.18626672891378776,0.3125,0.23503994190268698,0.08333333333333333,0.037037037037037035,0.9166666666666666,0.7272727272727273,0.875,0.4666666666666667,0.5,0.3370506305288914,0.08333333333333333,0.058823529411764705,0.5161290322580645,0.3258145363408521,0.26666666666666666,0.18253968253968253
5,0.0001888228567653781,0.10845645268758138,0.12755211194356283,0.15416666666666667,0.2916666666666667,0.3029013393699302,0.08333333333333333,0.03333333333333333,0.9375,0.768860353130016,0.875,0.4666666666666667,0.3541666666666667,0.25429380993897127,0.041666666666666664,0.03333333333333333,0.6451612903225806,0.4601648351648352,0.13333333333333333,0.08333333333333333
6,0.00015,0.1079073113699754,0.14647570749123892,0.2020712349980643,0.3125,0.2696379543022011,0.16666666666666666,0.13888888888888887,0.9166666666666666,0.7272727272727273,0.7083333333333334,0.4146341463414634,0.3958333333333333,0.28419645370109764,0.125,0.08333333333333333,0.6451612903225806,0.5,0.2,0.17142857142857143
7,0.0001111771432346219,0.08466479430596034,0.13738728066285452,0.24205827067669172,0.4791666666666667,0.4745421115306026,0.08333333333333333,0.075,0.9375,0.8160919540229885,0.75,0.42857142857142855,0.5416666666666666,0.3741645781119465,0.16666666666666666,0.11466165413533834,0.6774193548387096,0.521007371007371,0.4,0.35
8,7.500000000000003e-05,0.09709585830569267,0.13597757120927176,0.2830786514210427,0.5625,0.5739418222255751,0.20833333333333334,0.15454545454545454,0.9583333333333334,0.8222222222222222,0.75,0.42857142857142855,0.5625,0.3859175377468061,0.375,0.21884057971014492,0.6129032258064516,0.4532828282828283,0.4,0.33035714285714285
9,4.393398282201788e-05,0.07763564338286717,0.1255159725745519,0.2997519841269841,0.5833333333333334,0.5988339275103981,0.2916666666666667,0.18611111111111112,0.9583333333333334,0.8636363636363636,0.75,0.42857142857142855,0.4791666666666667,0.336203560371517,0.4166666666666667,0.25396825396825395,0.6774193548387096,0.5715284715284715,0.4,0.33035714285714285
10,2.0096189432334194e-05,0.07384317616621654,0.12600662310918173,0.3223852232075916,0.5625,0.5455377955377955,0.375,0.24903337403337403,0.9791666666666666,0.9229534510433386,0.75,0.42857142857142855,0.5208333333333334,0.35846267553584626,0.4583333333333333,0.28157894736842104,0.6774193548387096,0.46655052264808367,0.4,0.33035714285714285
11,5.1111260566397705e-06,0.07040306677420934,0.1267803187171618,0.3223852232075916,0.5416666666666666,0.4786027697792404,0.375,0.24903337403337403,0.9791666666666666,0.9229534510433386,0.75,0.42857142857142855,0.6041666666666666,0.40964373464373466,0.4583333333333333,0.28157894736842104,0.7419354838709677,0.6324675324675325,0.4,0.33035714285714285
12,0.0,0.06577818468213081,0.12822491427262625,0.3223852232075916,0.6875,0.6905571552630376,0.375,0.24903337403337403,1.0,1.0,0.75,0.42857142857142855,0.625,0.4224705474705475,0.4583333333333333,0.28157894736842104,0.7419354838709677,0.6833333333333332,0.4,0.33035714285714285
